"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","PID","START_TIME","trial","responses","view_history","x","y","actor","target_emotion"
"pavlovia","0","802","0.0-0.0","","","","","","","","","","","",""
"html-button-response","1","24563","0.0-1.0","23760.19999998808","<h1>Welcome to the Multiethnic Face Database Study!</h1>","0","SSEREBRYANY","1741637342317","","","","","","",""
"html-button-response","2","484961","0.0-2.0","460392.7999999523","<div style=""text-align: left; margin: 50px 80px -60px 80px;""><p><span style='text-decoration: underline;'><strong>CONSENT FORM </strong></span></p><p><strong>McGill University </strong></p><p><strong>Title of Research:</strong> A Dual Process Theory of Theory of Mind</p><p><strong>Researchers:</strong><br>Ian Gold, Ph.D., Professor, McGill University<br />Elizaveta Solomonova, Ph.D., Researcher, McGill University <br />Fernanda Perez-Gay Juarez, M.D., Ph.D., Psychiatry Resident, McGill University<br />Sophie Serebryany, Undergraduate Student, McGill University <br />Ani Shahbazian, Undergraduate Student, Concordia University<br>Sophie Hoyer, Undergraduate Student, McGill University</p><p><strong>Contact Information:<br />Tel:</strong> 514-398-8939 (Dr. Ian Gold) <br /><strong>Email:</strong> neurophilosophylabmcgill@gmail.com (all researchers)</p><p><strong>Purpose of the research:</strong><br> This study aims to measure people's ability to understand what others are thinking and feeling across different contexts and modalities. Please read through the description of the research project, and take the opportunity to ask any questions that you have about the project.</p><p><strong>What is involved in participating:</strong><br>You will be asked to look at a series of videos of facial expressions and answer questions about them. The online study in its entirety will take around 1 hours, divided into two 30-minute sessions. You will be asked to respond by answering multiple choice questions or placing your cursor on a grid. You will only need a mouse and a keyboard to provide responses to the various tasks.</p><p><strong>Right to withdraw:</strong><br>Please note that your participation is voluntary, and you are free to withdraw at any time without any negative consequences. Once you consent to participate, you may proceed to complete the online tasks. At the end of the experiment, you will see the message 'This is the end of the study. Please click on the button 'Complete the Experiment' to save your data and obtain your payment code.' Once you click the button, your data will be automatically collected through Pavlovia. Since participants will be anonymized (identified only by an alphanumeric code assigned by Prolific), the data will not be able to be withdrawn anonymously once you have completed the experiment. If you wish to withdraw consent without data collection, do not click the button to end the experiment and just close your browser.</p><p><strong>Confidentiality:</strong><br>The study's data will be kept for 7 years, stored in a password-protected virtual drive under the jurisdiction of McGill University (Dr. Ian Gold McGill's OneDrive). Your responses will be kept strictly confidential and will be identified only by means of your Prolific ID and never with your name or other identifying information. Only members of Dr. Ian Gold's lab will have access to identifiable study materials. You will not be identified or identifiable in any report or reports that result from the research (peer reviewed publications, presentations at national and international conferences, etc).</p><p><strong>Compensation:</strong><br>You will be compensated with &pound;9 for your participation in the study for the 60-minute session. Please use the completion code given to you at the end of the study to retrieve your payment in your Prolific account. Please note that if you decide to withdraw before finishing a session, there will be no way to compensate you for the time you spent, given that your data will not be saved.</p><p><strong>Risks &amp; Benefits:</strong> The only associated risks associated with this study are screen fatigue. If you have questions or concerns regarding your rights or welfare as a participant in this research study, please contact the Manager, Research Ethics at 514-398-6831 or lynda.mcneil@mcgill.ca.</p><p><strong>Consent:</strong><br>Please click on the button below if you have read the above information and consent to participate in this study. Otherwise, you can just close this window and return to the experiment in Prolific. Agreeing to participate in this study does not waive any of your rights or release the researchers from their responsibilities. To ensure the study is being conducted properly, authorized individuals, such as a member of the Research Ethics Board, may have access to your information.</p></div>","0","","","false","","","","","",""
"survey-demo","3","616818","0.0-3.0","131842.89999997616","","","SSEREBRYANY","1741637342317","demo","{""age"":""21"",""gender"":""Woman"",""ethnicity"":[""White""],""education"":""University/College (BA/BS/...)"",""religion"":""Jewish"",""birthcountry"":""Canada"",""residencecountry"":""Canada"",""yearsresidence"":""21"",""internetspeed"":""220""}","","","","",""
"instructions","4","794968","0.0-6.0-0.0","178148.80000001192","","","","","","","[{""page_index"":0,""viewing_time"":157677.60000002384},{""page_index"":1,""viewing_time"":16347.699999988079},{""page_index"":2,""viewing_time"":4122.800000011921}]","","","",""
"html-keyboard-response","5","795981","0.0-6.0-1.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","6","800943","0.0-6.0-2.0","","","","","","","","","","","",""
"image-keyboard-response","7","801521","0.0-6.0-3.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","8","939652","0.0-6.0-4.0","137612.89999997616","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-34","-12","",""
"html-button-response","9","1073143","0.0-7.0","133487.59999996424","<div style=""width: 1000px; height: 70px""><p>You will now be shown a series of short videos. Please identify an appropriate location in the grid for the emotion expressed by the facial expression as you did before in the practice trials. Starting now, your responses will be recorded.</p><p>Click <strong>Continue</strong> to start. Good luck!</p></div>","0","","","false","","","","","",""
"html-keyboard-response","10","1074147","0.0-8.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","11","1079626","0.0-8.0-1.0","","","","","","","","","","","",""
"image-keyboard-response","12","1080129","0.0-8.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","13","1087102","0.0-8.0-3.0","4633.899999976158","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-51","-40","",""
"html-keyboard-response","14","1088114","0.0-8.0-0.1","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","15","1095595","0.0-8.0-1.1","","","","","","","","","","","",""
"image-keyboard-response","16","1096104","0.0-8.0-2.1","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","17","1098009","0.0-8.0-3.1","1653","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-116","25","",""
"html-keyboard-response","18","1099017","0.0-8.0-0.2","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","19","1103507","0.0-8.0-1.2","","","","","","","","","","","",""
"image-keyboard-response","20","1104013","0.0-8.0-2.2","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","21","1106553","0.0-8.0-3.2","2284.699999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","119","-67","",""
"html-keyboard-response","22","1107559","0.0-8.0-0.3","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","23","1112633","0.0-8.0-1.3","","","","","","","","","","","",""
"image-keyboard-response","24","1113147","0.0-8.0-2.3","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","25","1116745","0.0-8.0-3.3","3124.300000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-62","1","",""
"html-keyboard-response","26","1117756","0.0-8.0-0.4","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","27","1122945","0.0-8.0-1.4","","","","","","","","","","","",""
"image-keyboard-response","28","1123454","0.0-8.0-2.4","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","29","1130668","0.0-8.0-3.4","6933.699999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-1","31","",""
"html-keyboard-response","30","1131681","0.0-8.0-0.5","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","31","1136394","0.0-8.0-1.5","","","","","","","","","","","",""
"image-keyboard-response","32","1136899","0.0-8.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","33","1141478","0.0-8.0-3.5","3713.699999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-42","44","",""
"html-keyboard-response","34","1142491","0.0-8.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","35","1147560","0.0-8.0-1.6","","","","","","","","","","","",""
"image-keyboard-response","36","1148068","0.0-8.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","37","1153254","0.0-8.0-3.6","4108.199999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-80","67","",""
"html-keyboard-response","38","1154262","0.0-8.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","39","1158821","0.0-8.0-1.7","","","","","","","","","","","",""
"image-keyboard-response","40","1159323","0.0-8.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","41","1160941","0.0-8.0-3.7","1323.5","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-68","-35","",""
"html-keyboard-response","42","1161956","0.0-8.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","43","1166583","0.0-8.0-1.8","","","","","","","","","","","",""
"image-keyboard-response","44","1167084","0.0-8.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","45","1168250","0.0-8.0-3.8","894.5","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-98","-23","",""
"html-keyboard-response","46","1169254","0.0-8.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","47","1174450","0.0-8.0-1.9","","","","","","","","","","","",""
"image-keyboard-response","48","1174951","0.0-8.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","49","1176389","0.0-8.0-3.9","1107","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","80","7","",""
"html-keyboard-response","50","1177402","0.0-8.0-0.10","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","51","1182736","0.0-8.0-1.10","","","","","","","","","","","",""
"image-keyboard-response","52","1183251","0.0-8.0-2.10","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","53","1186831","0.0-8.0-3.10","3218.099999964237","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","87","121","",""
"html-keyboard-response","54","1187844","0.0-8.0-0.11","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","55","1193118","0.0-8.0-1.11","","","","","","","","","","","",""
"image-keyboard-response","56","1193625","0.0-8.0-2.11","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","57","1216363","0.0-8.0-3.11","21647.5","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","49","8","",""
"html-keyboard-response","58","1217373","0.0-8.0-0.12","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","59","1222078","0.0-8.0-1.12","","","","","","","","","","","",""
"image-keyboard-response","60","1222593","0.0-8.0-2.12","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","61","1227808","0.0-8.0-3.12","4568.599999964237","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","57","41","",""
"html-keyboard-response","62","1228818","0.0-8.0-0.13","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","63","1233379","0.0-8.0-1.13","","","","","","","","","","","",""
"image-keyboard-response","64","1233882","0.0-8.0-2.13","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","65","1236050","0.0-8.0-3.13","1908.4000000357628","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","98","113","",""
"html-keyboard-response","66","1237053","0.0-8.0-0.14","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","67","1242592","0.0-8.0-1.14","","","","","","","","","","","",""
"image-keyboard-response","68","1243096","0.0-8.0-2.14","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","69","1247156","0.0-8.0-3.14","3299.099999964237","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-83","62","",""
"html-keyboard-response","70","1248160","0.0-8.0-0.15","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","71","1253293","0.0-8.0-1.15","","","","","","","","","","","",""
"image-keyboard-response","72","1253808","0.0-8.0-2.15","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","73","1255383","0.0-8.0-3.15","1373.6000000238419","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","92","66","",""
"html-keyboard-response","74","1256392","0.0-8.0-0.16","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","75","1261186","0.0-8.0-1.16","","","","","","","","","","","",""
"image-keyboard-response","76","1261690","0.0-8.0-2.16","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","77","1263233","0.0-8.0-3.16","1273.800000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-124","99","",""
"html-keyboard-response","78","1264243","0.0-8.0-0.17","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","79","1269575","0.0-8.0-1.17","","","","","","","","","","","",""
"image-keyboard-response","80","1270076","0.0-8.0-2.17","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","81","1275499","0.0-8.0-3.17","2993","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-80","-18","",""
"html-keyboard-response","82","1276506","0.0-8.0-0.18","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","83","1281042","0.0-8.0-1.18","","","","","","","","","","","",""
"image-keyboard-response","84","1281548","0.0-8.0-2.18","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","85","1284825","0.0-8.0-3.18","3091.099999964237","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-92","117","",""
"html-keyboard-response","86","1285830","0.0-8.0-0.19","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","87","1291377","0.0-8.0-1.19","","","","","","","","","","","",""
"image-keyboard-response","88","1291888","0.0-8.0-2.19","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","89","1294092","0.0-8.0-3.19","1796","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-107","-79","",""
"html-keyboard-response","90","1295102","0.0-9.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","91","1301797","0.0-9.0-1.0","","","","","","","","","","","",""
"image-keyboard-response","92","1302301","0.0-9.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","93","1305364","0.0-9.0-3.0","2447.199999988079","If you are paying attention, please click anywhere in the <strong>bottom left quadrant</strong>.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","attention-check","","","-100","-44","9","concerned"
"html-keyboard-response","94","1306366","0.0-11.0-0.0","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","95","1310778","0.0-11.0-1.0","","","","","","","","","","","",""
"image-keyboard-response","96","1311279","0.0-11.0-2.0","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","97","1312221","0.0-11.0-3.0","758.0999999642372","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","127","131","",""
"html-keyboard-response","98","1313232","0.0-11.0-0.1","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","99","1318427","0.0-11.0-1.1","","","","","","","","","","","",""
"image-keyboard-response","100","1318929","0.0-11.0-2.1","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","101","1319828","0.0-11.0-3.1","803.1000000238419","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","94","106","",""
"html-keyboard-response","102","1320831","0.0-11.0-0.2","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","103","1325531","0.0-11.0-1.2","","","","","","","","","","","",""
"image-keyboard-response","104","1326036","0.0-11.0-2.2","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","105","1329281","0.0-11.0-3.2","3115.199999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-90","19","",""
"html-keyboard-response","106","1330298","0.0-11.0-0.3","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","107","1335435","0.0-11.0-1.3","","","","","","","","","","","",""
"image-keyboard-response","108","1335943","0.0-11.0-2.3","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","109","1337892","0.0-11.0-3.3","1782.8999999761581","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-125","1","",""
"html-keyboard-response","110","1338901","0.0-11.0-0.4","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","111","1343728","0.0-11.0-1.4","","","","","","","","","","","",""
"image-keyboard-response","112","1344245","0.0-11.0-2.4","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","113","1345829","0.0-11.0-3.4","884.8999999761581","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-111","-61","",""
"html-keyboard-response","114","1346841","0.0-11.0-0.5","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","115","1351294","0.0-11.0-1.5","","","","","","","","","","","",""
"image-keyboard-response","116","1351798","0.0-11.0-2.5","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","117","1363224","0.0-11.0-3.5","7195","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","113","103","",""
"html-keyboard-response","118","1364232","0.0-11.0-0.6","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","119","1369178","0.0-11.0-1.6","","","","","","","","","","","",""
"image-keyboard-response","120","1369693","0.0-11.0-2.6","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","121","1372319","0.0-11.0-3.6","2508.899999976158","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-98","104","",""
"html-keyboard-response","122","1373332","0.0-11.0-0.7","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","123","1377761","0.0-11.0-1.7","","","","","","","","","","","",""
"image-keyboard-response","124","1378267","0.0-11.0-2.7","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","125","1380956","0.0-11.0-3.7","2269.800000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-72","-8","",""
"html-keyboard-response","126","1381966","0.0-11.0-0.8","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","127","1386357","0.0-11.0-1.8","","","","","","","","","","","",""
"image-keyboard-response","128","1386861","0.0-11.0-2.8","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","129","1389330","0.0-11.0-3.8","1727.800000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-71","64","",""
"html-keyboard-response","130","1390343","0.0-11.0-0.9","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","131","1394784","0.0-11.0-1.9","","","","","","","","","","","",""
"image-keyboard-response","132","1395286","0.0-11.0-2.9","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","133","1398269","0.0-11.0-3.9","2783","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","79","12","",""
"html-keyboard-response","134","1399280","0.0-11.0-0.10","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","135","1403603","0.0-11.0-1.10","","","","","","","","","","","",""
"image-keyboard-response","136","1404105","0.0-11.0-2.10","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","137","1405475","0.0-11.0-3.10","1169.3999999761581","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-89","-50","",""
"html-keyboard-response","138","1406486","0.0-11.0-0.11","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","139","1411515","0.0-11.0-1.11","","","","","","","","","","","",""
"image-keyboard-response","140","1412031","0.0-11.0-2.11","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","141","1419780","0.0-11.0-3.11","7569","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-76","73","",""
"html-keyboard-response","142","1420783","0.0-11.0-0.12","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","143","1425165","0.0-11.0-1.12","","","","","","","","","","","",""
"image-keyboard-response","144","1425671","0.0-11.0-2.12","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","145","1436035","0.0-11.0-3.12","7730.600000023842","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-56","57","",""
"html-keyboard-response","146","1437048","0.0-11.0-0.13","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","147","1441769","0.0-11.0-1.13","","","","","","","","","","","",""
"image-keyboard-response","148","1442286","0.0-11.0-2.13","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","149","1444361","0.0-11.0-3.13","1861.0999999642372","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-129","102","",""
"html-keyboard-response","150","1445375","0.0-11.0-0.14","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","151","1451308","0.0-11.0-1.14","","","","","","","","","","","",""
"image-keyboard-response","152","1451814","0.0-11.0-2.14","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","153","1454437","0.0-11.0-3.14","2408.399999976158","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-107","-58","",""
"html-keyboard-response","154","1455452","0.0-11.0-0.15","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","155","1460427","0.0-11.0-1.15","","","","","","","","","","","",""
"image-keyboard-response","156","1460935","0.0-11.0-2.15","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","157","1462968","0.0-11.0-3.15","1793.800000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-87","20","",""
"html-keyboard-response","158","1463970","0.0-11.0-0.16","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","159","1468825","0.0-11.0-1.16","","","","","","","","","","","",""
"image-keyboard-response","160","1469329","0.0-11.0-2.16","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","161","1479168","0.0-11.0-3.16","9573.399999976158","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-8","32","",""
"html-keyboard-response","162","1480180","0.0-11.0-0.17","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","163","1485013","0.0-11.0-1.17","","","","","","","","","","","",""
"image-keyboard-response","164","1485516","0.0-11.0-2.17","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","165","1488284","0.0-11.0-3.17","2506.5","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-35","-50","",""
"html-keyboard-response","166","1489301","0.0-11.0-0.18","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","167","1494741","0.0-11.0-1.18","","","","","","","","","","","",""
"image-keyboard-response","168","1495251","0.0-11.0-2.18","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","169","1499805","0.0-11.0-3.18","4207.699999988079","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","-62","-80","",""
"html-keyboard-response","170","1500814","0.0-11.0-0.19","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","171","1505501","0.0-11.0-1.19","","","","","","","","","","","",""
"image-keyboard-response","172","1506012","0.0-11.0-2.19","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","173","1509086","0.0-11.0-3.19","1326.1000000238419","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","60","67","",""
"html-keyboard-response","174","1510093","0.0-11.0-0.20","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","175","1514781","0.0-11.0-1.20","","","","","","","","","","","",""
"image-keyboard-response","176","1515283","0.0-11.0-2.20","null","stimuli/noise_texture.png","null","","","","","","","","",""
"html-custom-grid-response","177","1517565","0.0-11.0-3.20","1979.800000011921","Please locate the emotion in an appropriate spot in the grid by pointing and clicking the mouse.<br>Press the <b>space bar</b> when you're ready to continue.<br><br>","","","","","","","96","92","",""
"html-keyboard-response","178","1518576","0.0-11.0-0.21","null","<span style=""font-size:40px;"">+</span>","null","","","","","","","","",""
"html-keyboard-response","179","1523375","0.0-11.0-1.21","","","","","","","","","","","",""
"image-keyboard-response","180","1523881","0.0-11.0-2.21","null","stimuli/noise_texture.png","null","","","","","","","","",""
